geneSymbol	geneSymbol.1	Symbol
1	1	A1BG	ENSG00000121410
2	2	A1BG-AS1	ENSG00000268895
3	3	A1CF	ENSG00000148584
4	4	A2M	ENSG00000175899
5	5	A2M-AS1	ENSG00000245105
6	6	A2ML1	ENSG00000166535
7	7	A2ML1-AS1	ENSG00000256661
8	8	A2ML1-AS2	ENSG00000256904
9	9	A2MP1	ENSG00000256069
10	10	A3GALT2	ENSG00000184389
11	11	A4GALT	ENSG00000128274
12	12	A4GNT	ENSG00000118017
13	13	AAAS	ENSG00000094914
14	14	AACS	ENSG00000081760
15	15	AACSP1	ENSG00000250420
16	16	AADAC	ENSG00000114771
17	17	AADACL2	ENSG00000197953
18	18	AADACL2-AS1	ENSG00000242908
19	19	AADACL3	ENSG00000188984
20	20	AADACL4	ENSG00000204518
21	21	AADACP1	ENSG00000240602
22	22	AADAT	ENSG00000109576
23	23	AAGAB	ENSG00000103591
24	24	AAK1	ENSG00000115977
25	25	AAMDC	ENSG00000087884
26	26	AAMP	ENSG00000127837
27	27	AANAT	ENSG00000129673
28	28	AAR2	ENSG00000131043
29	29	AARD	ENSG00000205002
30	30	AARS	ENSG00000090861
31	31	AARS2	ENSG00000124608
32	32	AARSD1	ENSG00000266967
33	33	AARSP1	ENSG00000249038
34	34	AASDH	ENSG00000157426
35	35	AASDHPPT	ENSG00000149313
36	36	AASS	ENSG00000008311
37	37	AATBC	ENSG00000215458
38	38	AATF	ENSG00000275700
39	39	AATK	ENSG00000181409
40	40	ABALON	ENSG00000281376
41	41	ABAT	ENSG00000183044
42	42	ABCA1	ENSG00000165029
43	43	ABCA10	ENSG00000154263
44	44	ABCA11P	ENSG00000251595
45	45	ABCA12	ENSG00000144452
46	46	ABCA13	ENSG00000179869
47	47	ABCA17P	ENSG00000238098
48	48	ABCA2	ENSG00000107331
49	49	ABCA3	ENSG00000167972
50	50	ABCA4	ENSG00000198691
51	51	ABCA5	ENSG00000154265
52	52	ABCA6	ENSG00000154262
53	53	ABCA7	ENSG00000064687
54	54	ABCA8	ENSG00000141338
55	55	ABCA9	ENSG00000154258
56	56	ABCA9-AS1	ENSG00000231749
57	57	ABCB1	ENSG00000085563
58	58	ABCB10	ENSG00000135776
59	59	ABCB10P1	ENSG00000274099
60	60	ABCB10P3	ENSG00000261524
61	61	ABCB10P4	ENSG00000260053
62	62	ABCB11	ENSG00000073734
63	63	ABCB4	ENSG00000005471
64	64	ABCB5	ENSG00000004846
65	65	ABCB6	ENSG00000115657
66	66	ABCB7	ENSG00000131269
67	67	ABCB8	ENSG00000197150
68	68	ABCB9	ENSG00000150967
69	69	ABCC1	ENSG00000103222
70	70	ABCC10	ENSG00000124574
71	71	ABCC11	ENSG00000121270
72	72	ABCC12	ENSG00000140798
73	73	ABCC13	ENSG00000243064
74	74	ABCC2	ENSG00000023839
75	75	ABCC3	ENSG00000108846
76	76	ABCC4	ENSG00000125257
77	77	ABCC5	ENSG00000114770
78	78	ABCC5-AS1	ENSG00000223882
79	79	ABCC6	ENSG00000091262
80	80	ABCC6P1	ENSG00000256340
81	81	ABCC6P2	ENSG00000255277
82	82	ABCC8	ENSG00000006071
83	83	ABCC9	ENSG00000069431
84	84	ABCD1	ENSG00000101986
85	85	ABCD1P2	ENSG00000215151
86	86	ABCD1P3	ENSG00000261233
87	87	ABCD1P4	ENSG00000225293
88	88	ABCD1P5	ENSG00000214330
89	89	ABCD2	ENSG00000173208
90	90	ABCD3	ENSG00000117528
91	91	ABCD4	ENSG00000119688
92	92	ABCE1	ENSG00000164163
93	93	ABCF1	ENSG00000204574
94	94	ABCF2	ENSG00000033050
95	95	ABCF2P1	ENSG00000242159
96	96	ABCF2P2	ENSG00000228769
97	97	ABCF3	ENSG00000161204
98	98	ABCG1	ENSG00000160179
99	99	ABCG2	ENSG00000118777
100	100	ABCG4	ENSG00000172350
101	101	ABCG5	ENSG00000138075
102	102	ABCG8	ENSG00000143921
103	103	ABHD1	ENSG00000143994
104	104	ABHD10	ENSG00000144827
105	105	ABHD11	ENSG00000106077
106	106	ABHD11-AS1	ENSG00000225969
107	107	ABHD12	ENSG00000100997
108	108	ABHD12B	ENSG00000131969
109	109	ABHD13	ENSG00000139826
110	110	ABHD14A	ENSG00000248487
111	111	ABHD14A-ACY1	ENSG00000114786
112	112	ABHD14B	ENSG00000114779
113	113	ABHD15	ENSG00000168792
